genre_id,category_name,ranking_group
100181,その他（掃除機・クリーナー｜生活家電）,Electronics
100487,指輪・リング（レディースジュエリー・アクセサリー｜ジュエリー・アクセサリー）,Jewelry & accessories
100992,ビタミンC（ビタミン｜サプリメント）,Beauty & health
101020,その他（プロバイオティクス｜サプリメント）,Beauty & health
101535,セット・詰め合わせ（魚介類・水産加工品｜食品）,Food & drink
110365,ストラップ・マスコット（スマートフォン・携帯電話アクセサリー｜スマートフォン・タブレット）,Jewelry & accessories
110409,ホタテ（貝類｜魚介類・水産加工品）,Food & drink
110435,タン（牛肉｜精肉・肉加工品）,Food & drink
110632,発泡酒（ビール・発泡酒｜ビール・洋酒）,Food & drink
200181,その他（スポーツ器具｜フィットネス・トレーニング）,Sports & outdoors
201184,白米（米・雑穀｜食品）,Food & drink
201351,水・炭酸水（水・ソフトドリンク）,Food & drink
201486,ビタミンD（ビタミン｜サプリメント）,Beauty & health
201632,ぬいぐるみ（ぬいぐるみ・人形｜おもちゃ）,"Baby, toys & games"
201925,クーラーボックス（クーラーボックス・保冷剤｜アウトドア）,Sports & outdoors
202502,フラワーアレンジメント（花・観葉植物｜花・ガーデン・DIY）,"DIY, garden & auto"
204586,炊飯器（キッチン家電｜家電）,Electronics
204934,ウェッジ（メンズクラブ｜クラブ）,Sports & outdoors
204964,ボール（ゴルフ｜スポーツ・アウトドア）,Sports & outdoors
205272,積み木（ベビー向けおもちゃ｜おもちゃ）,"Baby, toys & games"
205582,枕（枕・抱き枕｜寝具）,Home & living
205611,毛布・ブランケット（寝具｜インテリア・寝具・収納）,Home & living
205761,入浴剤（バス用品｜日用品雑貨・文房具・手芸）,Beauty & health
206361,スーツ（スーツ・セットアップ｜メンズファッション）,Fashion
206363,Dress shirts,Fashion
206440,Women's pants,Fashion
206471,シャツ・ブラウス（トップス｜レディースファッション）,Fashion
207288,キーホルダー（キーホルダー・キーケース｜財布・ケース）,"Bags, travel & accessories"
207774,サケ（魚介類・水産加工品｜食品）,Food & drink
207802,肩ロース（牛肉｜精肉・肉加工品）,Food & drink
207966,ユーティリティ（メンズクラブ｜クラブ）,Sports & outdoors
208532,Personal care item,Beauty & health
210022,バッテリー本体（バッテリー｜車用品）,Electronics
210413,その他（発電機・ポータブル電源｜電動工具本体）,"DIY, garden & auto"
212377,ホットプレート（ホットプレート・グリル・フライヤー｜キッチン家電）,Electronics
214099,カレー（惣菜｜食品）,Food & drink
214104,ハンバーグ（洋風惣菜｜惣菜）,Food & drink
214781,青汁（栄養・健康ドリンク｜健康食品）,Food & drink
215430,ソファセット（ソファ・ソファベッド｜インテリア・寝具・収納）,Home & living
215913,両手鍋（鍋｜鍋・フライパン）,Home & living
216158,Home item,Home & living
216173,Home item,Home & living
216424,フェイスクリーム（スキンケア｜美容・コスメ・香水）,Beauty & health
301577,スーツケース・キャリーバッグ（バッグ｜バッグ・小物・ブランド雑貨）,Fashion
304080,ビジネスシューズ（メンズ靴｜靴）,Fashion
304763,Foot deodorant powder,Beauty & health
401131,Baby coveralls & rompers,"Baby, toys & games"
401534,エプロン（エプロン・三角巾｜配膳用品・キッチンファブリック）,Home & living
402018,Kitchen item,Home & living
402279,大人用水筒・マグボトル（水筒・コップ｜弁当箱・水筒）,Home & living
407120,アロマディフューザー（アロマ・お香｜美容・コスメ・香水）,Beauty & health
408789,トートバッグ（男女兼用バッグ｜バッグ）,"Bags, travel & accessories"
501098,トイレットペーパー（ティッシュ・トイレットペーパー｜日用消耗品）,Home & living
502221,ビジネスバッグ・ブリーフケース（メンズバッグ｜バッグ）,"Bags, travel & accessories"
502280,バックパック・リュック（メンズバッグ｜バッグ）,"Bags, travel & accessories"
502835,ヘッドホン・イヤホン（オーディオ｜TV・オーディオ・カメラ）,Electronics
506012,レーザー距離計（ラウンド用品・小物｜ゴルフ）,Sports & outdoors
506536,炭酸飲料（水・ソフトドリンク）,Food & drink
506539,ドリップバッグ（コーヒー｜水・ソフトドリンク）,Food & drink
507515,ゲート（犬小屋・ケージ・ゲート｜犬用品）,Pet supplies
507843,育毛・養毛剤（ヘアケア・スタイリング｜美容・コスメ・香水）,Beauty & health
508456,シャワーヘッド（バス用品｜日用品雑貨・文房具・手芸）,Home & living
508599,ネックレスチェーン（男女兼用アクセサリー｜ジュエリー・アクセサリー）,Jewelry & accessories
509417,カールアイロン（ドライヤー・ヘアアイロン｜美容・健康家電）,Beauty & health
509434,AC式充電器（バッテリー・充電器｜スマートフォン・タブレット）,Electronics
510003,まつげ・まゆげ美容液（ベースメイク・メイクアップ｜美容・コスメ・香水）,Beauty & health
511293,新ジャンル・第3のビール（ビール・発泡酒｜ビール・洋酒）,Food & drink
551180,Tシャツ・カットソー（トップス｜メンズファッション）,Fashion
551228,カーペット・ラグ（カーペット・マット・畳｜インテリア・寝具・収納）,Home & living
551732,バスタオル（タオル｜日用品雑貨・文房具・手芸）,Home & living
551736,フェイスタオル（タオル｜日用品雑貨・文房具・手芸）,Home & living
554973,GPSナビ（ラウンド用品・小物｜ゴルフ）,Sports & outdoors
555003,カートリッジ（電子タバコ・ベイプ｜喫煙具）,Other
555421,ドアホン・インターホン（住宅設備家電｜家電）,Electronics
558754,第二類医薬品（育毛・抜け毛・フケ｜医薬品）,Beauty & health
558846,ズボン・パンツ（メンズファッション）,Fashion
558873,コート・ジャケット（メンズファッション）,Fashion
560271,ケース・カバー（スマートフォン・携帯電話アクセサリー｜スマートフォン・タブレット）,"Bags, travel & accessories"
562641,電気給湯器（給湯器｜住宅設備家電）,Electronics
563339,赤ワイン（ワイン｜ビール・洋酒）,Food & drink
563342,スパークリングワイン・シャンパン（ワイン｜ビール・洋酒）,Food & drink
563689,Genre 563689,Other
564286,ミラーレス一眼カメラ（デジタルカメラ｜カメラ・ビデオカメラ・光学機器）,Electronics
564647,ご飯パック（米・雑穀｜食品）,Food & drink
564895,スマートウォッチ本体（スマートフォン・タブレット）,Electronics
565724,キャットフード（キャットフード・サプリメント｜猫用品）,Beauty & health
566061,あごだし（だし｜調味料）,Food & drink
566403,本体（Nintendo Switch｜テレビゲーム）,Electronics
566647,蒲焼き（和風惣菜｜惣菜）,Food & drink
567251,マヌカハニー（はちみつ・ハニー｜ジャム・はちみつ）,Food & drink
567434,クリーニング（衣類関連サービス｜サービス・リフォーム）,Services
567538,シャンプー・トリートメントセット（ヘアケア・スタイリング｜美容・コスメ・香水）,Beauty & health
567554,セット（鍋・フライパン｜キッチン用品・食器・調理器具）,Home & living
567623,その他（アミノ酸｜サプリメント）,Beauty & health
567645,植物茶（茶葉・ティーバッグ｜お茶・紅茶）,Food & drink
567662,白ワインセット（飲み比べセット｜ワイン）,Food & drink
567664,スパークリングワイン・シャンパンセット（飲み比べセット｜ワイン）,Food & drink
567665,モルト・ウイスキー（スコッチ・ウイスキー｜ウイスキー）,Food & drink
